Date,Open,High,Low,Close,Change,Volume
2015-11-25,23516.7,23524.93,23192.64,23246.34,-241.73,-152526704
2015-11-26,23275.91,23379.16,23157.07,23165.97,-80.37,140052608
2015-11-27,23164.77,23197.11,23026.48,23098.44,-67.53,122326360
2015-11-30,23107.17,23115.82,22657.71,22688.92,-409.52,142757664
2015-12-01,22691.1,22797.04,22291.68,22323.91,-365.01,189256144
2015-12-02,22375.07,22753.86,22292.4,22735.57,411.66,191533088
2015-12-03,22741.07,22829.66,22661.43,22788.54,52.97,119895664
2015-12-04,22813.4,22931.44,22811.41,22866.45,77.91,129722944
2015-12-07,22873.06,23017.9,22818.74,22912.26,45.81,155397760
2015-12-08,22886.23,23031.97,22835.54,22853.51,-58.75,192635664
2015-12-09,22853.69,23030.43,22853.69,22945.45,91.94,195423264
2015-12-10,22958.17,23131.01,22958.17,23058.56,113.11,171450480
2015-12-11,23074.01,23084.37,22918.81,22918.81,-139.75,189185408
2015-12-14,22908.14,22908.43,22576.6,22707.71,-211.1,144518320
2015-12-15,22772.43,22870.09,22509.75,22538.36,-169.35,145502096
2015-12-16,22587.12,22713.93,22587.12,22663.54,125.18,149012256
2015-12-17,22676.88,22942.8,22676.88,22908.13,244.59,142182864
2015-12-18,22948.74,22955.15,22727.89,22741.42,-166.71,114378032
2015-12-21,22726.77,22728.64,22588.64,22686.68,-54.74,90926784
2015-12-22,22753.81,22793.69,22676.16,22691.56,4.88,78561768
2015-12-23,22713.55,22740.43,22586.94,22586.94,-104.62,104503928
2015-12-28,22638.11,22769.66,22638.11,22739.66,152.72,120038336
2015-12-29,22738.44,22926.96,22738.44,22868.03,128.37,144739376
2015-12-30,22905.53,23024.58,22815.13,22880.68,12.65,79953408
2015-12-31,22889.39,22940.02,22784.24,22936.8,56.12,99632992
2016-01-01,22947.46,23215.03,22938.37,23195.06,258.26,124069808
2016-01-04,23222.09,23243.66,23019.27,23051.6,-143.46,109619928
2016-01-05,22937.61,23082.12,22747.17,23045.52,-6.08,142386016
2016-01-06,23076.49,23143.08,23013.16,23015.14,-30.38,100527344
2016-01-07,23013.15,23013.15,22833.72,22843.59,-171.55,135851328
2016-01-08,22869.09,22901.03,22714.24,22714.24,-99.89,110555992
2016-01-11,22743.8,22756.8,22515.68,22535.88,-207.82,86486152
2016-01-12,22493.64,22509.47,22334.8,22471.33,-64.55,127410496
2016-01-13,22508.15,22599.89,22294.52,22384.27,-87.06,115443696
2016-01-14,22347.63,22347.63,21897.01,21921.96,-462.31,190253840
2016-01-15,21917.64,22055.47,21554.29,21657.54,-264.42,137561248
2016-01-18,21581.89,21581.89,20938.82,21403.47,-254.07,210253376
2016-01-19,21411.1,21763.36,21372.52,21735.14,331.67,154126944
2016-01-20,21728.45,21728.45,21516.45,21578.36,-156.78,105999672
2016-01-21,21612.47,21753.4,21539.53,21574.61,-3.75,135807248
2016-01-22,21584.23,21793.41,21584.23,21778.22,203.61,131175408
2016-01-25,21892.51,22025.32,21795.43,21855.51,77.29,129376920
2016-01-26,21781.31,21882.47,21738.63,21842.48,-13.03,107955192
2016-01-27,21901.19,22031.98,21880.21,21899.35,56.87,119383936
2016-01-28,21910.28,22044.24,21892.44,22002.79,103.44,85739920
2016-01-29,22068.15,22160.11,22066.56,22098.31,95.52,141455264
2016-02-01,22149.86,22370.61,22149.28,22345.18,246.87,134352128
2016-02-02,22318.84,22469.41,22293.13,22309.9,-35.28,144365888
2016-02-03,22263.74,22427.96,22199.86,22389.26,79.36,147253968
2016-02-04,22425.64,22643.72,22425.64,22627.83,238.57,151180832
2016-02-08,22616.87,22849.04,22608.76,22752.1,124.27,152174592
2016-02-09,22754.78,22767.79,22595.63,22608.51,-143.59,148438464
2016-02-10,22568.57,22606.24,22341.32,22359.54,-248.97,168801024
2016-02-11,22363.73,22382.37,22116.06,22132.32,-227.22,112990816
2016-02-12,22160.15,22210.0,21881.69,21913.04,-219.28,121682976
2016-02-15,22008.36,22183.06,22008.36,22159.65,246.61,89232670
2016-02-16,22226.76,22289.89,21941.71,22008.09,-151.56,166743216
2016-02-17,22018.0,22018.0,21741.66,21836.13,-171.96,124048784
2016-02-18,21914.53,21971.71,21672.85,21695.49,-140.64,130024496
2016-02-19,21694.78,21694.78,21458.61,21500.6,-194.89,109517168
2016-02-22,21531.14,21551.19,21219.32,21294.47,-206.13,133307504
2016-02-23,21336.91,21383.83,21057.03,21268.58,-25.89,172840640
2016-02-24,21238.48,21464.56,21225.29,21413.65,145.07,138477152
2016-02-25,21436.48,21515.18,21318.57,21413.33,-0.32,121253344
2016-02-26,21457.09,21724.17,21457.09,21696.72,283.39,125156480
2016-02-29,21696.34,21776.16,21645.49,21714.93,18.21,130361480
2016-03-01,21728.8,21833.23,21715.78,21812.27,97.34,94459024
2016-03-02,21825.26,22019.25,21825.26,21929.2,116.93,160205056
2016-03-03,21974.85,22162.33,21974.85,22101.66,172.46,139793488
2016-03-04,22144.33,22298.69,22144.33,22266.96,165.3,150354720
2016-03-07,22287.46,22640.55,22287.46,22628.04,361.08,203118704
2016-03-08,22689.67,22770.07,22628.56,22677.18,49.14,216549712
2016-03-09,22643.19,22691.65,22585.11,22626.12,-51.06,204369888
2016-03-10,22671.34,22709.23,22467.25,22485.79,-140.33,135516544
2016-03-11,22488.64,22510.29,22392.31,22449.52,-36.27,116270280
2016-03-14,22478.19,22572.0,22463.32,22496.99,47.47,131589456
2016-03-15,22508.93,22522.64,22362.7,22399.21,-97.78,204125952
2016-03-16,22420.38,22570.64,22419.66,22528.88,129.67,182112704
2016-03-17,22602.83,22665.78,22586.88,22601.0,72.12,143486528
2016-03-18,22613.23,22730.92,22607.6,22696.09,95.09,172826704
2016-03-21,22691.72,22747.92,22632.36,22652.46,-43.63,122996640
2016-03-22,22697.1,22741.21,22547.77,22591.04,-61.42,133160016
2016-03-24,22546.64,22569.04,22479.56,22483.2,-107.84,86360008
2016-03-25,22491.06,22555.91,22452.42,22550.39,67.19,109222408
2016-03-28,22524.61,22618.76,22481.27,22543.43,-6.96,86378736
2016-03-29,22559.83,22614.22,22504.43,22559.04,15.61,130481000
2016-03-30,22560.57,22694.52,22560.57,22685.27,126.23,115696472
2016-03-31,22673.51,22922.73,22673.51,22896.99,211.72,163776384
2016-04-01,22886.63,23076.06,22886.63,23051.58,154.59,204095136
2016-04-04,23066.88,23246.24,23008.31,23238.24,186.66,292270336
